証券コード,企業名,17業種区分,年度,提出日,docID,EDINETコード,決算期間,売上高,営業利益,当期純利益,総資産,自己資本,流動資産,流動負債,固定資産,負債総額,営業CF,投資CF,財務CF,営業利益率,ROE,ROA,自己資本比率,流動比率,フリーCF,営業CFマージン,売上高成長率,営業利益成長率,当期純利益成長率,売上高(億円),営業利益(億円),当期純利益(億円),総資産(億円),自己資本(億円),流動資産(億円),流動負債(億円),固定資産(億円),負債総額(億円),営業CF(億円),投資CF(億円),財務CF(億円),フリーCF(億円)
9171,栗林商船,運輸・物流,2022,2022-06-29,S100OL79,E04254,有価証券報告書－第149期(令和3年4月1日－令和4年3月31日),45255500000.0,104197000.0,90909000.0,69431602000.0,1215035000.0,20276834000.0,18493604000.0,49148446000.0,46375659000.0,4919281000.0,-1638017000.0,-1839123000.0,0.23,7.48,0.13,1.75,109.64,3281264000.0,10.87,0.0,0.0,0.0,452.56,1.04,0.91,694.32,12.15,202.77,184.94,491.48,463.76,49.19,-16.38,-18.39,32.81
9171,栗林商船,運輸・物流,2023,2023-06-29,S100R7X9,E04254,有価証券報告書－第150期(2022/04/01－2023/03/31),49854873000.0,2060577000.0,1835780000.0,70742908000.0,1215035000.0,21427541000.0,16659187000.0,49312140000.0,46199208000.0,4901875000.0,-3612072000.0,-321279000.0,4.13,151.09,2.6,1.72,128.62,1289803000.0,9.83,10.16,1877.58,1919.36,498.55,20.61,18.36,707.43,12.15,214.28,166.59,493.12,461.99,49.02,-36.12,-3.21,12.9
9171,栗林商船,運輸・物流,2024,2024-06-27,S100TUD0,E04254,有価証券報告書－第151期(2023/04/01－2024/03/31),48885900000.0,1533438000.0,1673680000.0,77932293000.0,1215035000.0,22401945000.0,15438892000.0,55529059000.0,48135777000.0,4329020000.0,-3317505000.0,-135690000.0,3.14,137.75,2.15,1.56,145.1,1011515000.0,8.86,-1.94,-25.58,-8.83,488.86,15.33,16.74,779.32,12.15,224.02,154.39,555.29,481.36,43.29,-33.18,-1.36,10.12
9173,東海汽船,運輸・物流,2022,2022-03-25,S100NQEF,E04256,有価証券報告書－第197期(令和3年1月1日－令和3年12月31日),10810451000.0,197700000.0,-78265000.0,23863037000.0,1100000000.0,6721841000.0,4387819000.0,17141196000.0,17743700000.0,1515792000.0,1534434000.0,-1271952000.0,1.83,-7.12,-0.33,4.61,153.19,3050226000.0,14.02,0.0,0.0,0.0,108.1,1.98,-0.78,238.63,11.0,67.22,43.88,171.41,177.44,15.16,15.34,-12.72,30.5
9173,東海汽船,運輸・物流,2023,2023-03-24,S100QFSQ,E04256,有価証券報告書－第198期(2022/01/01－2022/12/31),13929966000.0,452061000.0,180753000.0,23705872000.0,1100000000.0,7561749000.0,5360349000.0,16144122000.0,17367310000.0,2135295000.0,-455940000.0,-692960000.0,3.25,16.43,0.76,4.64,141.07,1679355000.0,15.33,28.86,128.66,-330.95,139.3,4.52,1.81,237.06,11.0,75.62,53.6,161.44,173.67,21.35,-4.56,-6.93,16.79
9173,東海汽船,運輸・物流,2024,2024-03-28,S100T5JC,E04256,有価証券報告書－第199期(2023/01/01－2023/12/31),13176318000.0,-629780000.0,-580622000.0,22480199000.0,1100000000.0,7103583000.0,5503631000.0,15376616000.0,16603823000.0,388378000.0,-147763000.0,-744407000.0,-4.78,-52.78,-2.58,4.89,129.07,240615000.0,2.95,-5.41,-239.31,-421.22,131.76,-6.3,-5.81,224.8,11.0,71.04,55.04,153.77,166.04,3.88,-1.48,-7.44,2.41
9193,東京汽船,運輸・物流,2022,2022-06-29,S100OJAE,E04336,有価証券報告書－第84期(令和3年4月1日－令和4年3月31日),10699580000.0,-590938000.0,-192945000.0,28905720000.0,500500000.0,12931454000.0,3670120000.0,15974266000.0,7844100000.0,1272039000.0,-348575000.0,1415502000.0,-5.52,-38.55,-0.67,1.73,352.34,923464000.0,11.89,0.0,0.0,0.0,107.0,-5.91,-1.93,289.06,5.0,129.31,36.7,159.74,78.44,12.72,-3.49,14.16,9.23
9193,東京汽船,運輸・物流,2023,2023-06-29,S100R7RI,E04336,有価証券報告書－第85期(2022/04/01－2023/03/31),11865288000.0,92894000.0,416131000.0,28673909000.0,500500000.0,11698899000.0,3318856000.0,16975010000.0,7021223000.0,1502193000.0,-2728815000.0,-31318000.0,0.78,83.14,1.45,1.75,352.5,-1226622000.0,12.66,10.89,-115.72,-315.67,118.65,0.93,4.16,286.74,5.0,116.99,33.19,169.75,70.21,15.02,-27.29,-0.31,-12.27
9193,東京汽船,運輸・物流,2024,2024-06-27,S100TTQV,E04336,有価証券報告書－第86期(2023/04/01－2024/03/31),12515986000.0,368121000.0,572700000.0,29118306000.0,500500000.0,11080890000.0,3268019000.0,18037415000.0,6516328000.0,618203000.0,-639322000.0,120032000.0,2.94,114.43,1.97,1.72,339.07,-21119000.0,4.94,5.48,296.28,37.62,125.16,3.68,5.73,291.18,5.0,110.81,32.68,180.37,65.16,6.18,-6.39,1.2,-0.21
9201,日本航空,運輸・物流,2022,2022-06-22,S100OBZH,E04272,有価証券報告書－第73期(令和3年4月1日－令和4年3月31日),-349280000000.0,-342389000000.0,-286693000000.0,1887820000000.0,882077000000.0,545157000000.0,549236000000.0,1342663000000.0,1005743000000.0,-244625000000.0,-46744000000.0,369462000000.0,98.03,-32.5,-15.19,46.72,99.26,-291369000000.0,70.04,0.0,0.0,0.0,-3492.8,-3423.89,-2866.93,18878.2,8820.77,5451.57,5492.36,13426.63,10057.43,-2446.25,-467.44,3694.62,-2913.69
